data,description,source,link,Image_link,similar_images
2022-09-01T07:46:43-07:00,Former President Donald Trump’s legal team claimed Wednesday the FBI should have expected to find “sensitive” documents during the raid on his Florida estate. The acknowledgement was made in a new legal filing that also argued the seized materials from Mar-a-Lago were no “cause for alarm” and said the National Archives and Records Administration should have “simply followed up,nypost,https://nypost.com/2022/09/01/trump-lawyers-classified-docs-at-mar-a-lago-no-cause-for-alarm/,https://nypost.com/wp-content/uploads/sites/2/2022/09/newspress-collage-23695023-1662009153727.jpg?quality=75&amp;strip=all&amp;1661994777&amp;w=1024,"[43, 230, 211]"
2019-03-21T13:26:39-07:00,"White House officials and Democrats clashed Sunday over President Trump’s response to the New Zealand mosque massacre days after the president downplayed the role played by white nationalism, saying that a “small group of people” with “serious problems” hold such beliefs.",wsj,https://www.wsj.com/articles/trumpss-view-of-white-nationalism-sparks-political-debate-11552839789,https://s.wsj.net/img/meta/wsj-social-share.png,"[19, 30, 3]"
2019-10-17T06:12:20-07:00,"Donald Trump Jr. responded to criticisms from Hunter Biden who held an interview with ABC News earlier this week. Biden benefitted from his own father's political positions as early as the 1990s when he was employed by one of Delaware's largest employers at the time, Trump claimed Wednesday on &quot;Hannity.&quot; &quot;Right out of school, he gets a high paying job from MBNA -- the biggest",foxnews,https://www.foxnews.com/media/donald-trump-jr-responds-to-hunter-biden,https://static.foxnews.com/foxnews.com/content/uploads/2019/10/TrumpJr-Hannity.jpg,"[45, 95, 198]"
2020-01-16T07:17:08-08:00,"The Senate on Thursday will take some of its first steps to prepare for next week's impeachment trial of President Trump, just the third such trial in Senate history. Like many congressional activities, the process begins with much pomp and circumstance and procedure and process. But little of substance will be achieved until the case for impeachment is presented next week.",npr,https://www.npr.org/2020/01/16/796758960/senators-to-be-sworn-in-for-trump-impeachment-trial,https://media.npr.org/assets/img/2020/01/16/gettyimages-1194052407_wide-34d65e3de5d985a8dffe4a3dc98621c980d694c2-s1400-c100.jpg,"[46, 230, 19]"
2019-04-18T09:27:58-07:00,"A detailed report from special counsel Robert S. Mueller III said investigators struggled with both the legal implications of investigating President Trump for possible obstruction of justice, and the motives behind a range of his most alarming actions, from seeking the ouster of officials to ordering a memo that would clear his name.",washingtonpost,https://www.washingtonpost.com/world/national-security/attorney-general-to-provide-overview-of-mueller-report-at-news-conference-before-its-release/2019/04/17/8dcc9440-54b9-11e9-814f-e2f46684196e_story.html?utm_term=.be77524975bd,https://www.washingtonpost.com/wp-apps/imrs.php?src=https://arc-anglerfish-washpost-prod-washpost.s3.amazonaws.com/public/IID757CTFQI6TI7XPC3VEWUNL4.jpg&amp;w=1440,"[47, 19, 3]"
2019-11-21T07:36:42-08:00,quid pro quo,cbsnews,https://www.cbsnews.com/live-news/gordon-sondland-testimony-in-opening-statement-ambassador-implicates-officials-quid-pro-quo/,https://assets1.cbsnewsstatic.com/hub/i/r/2019/11/20/395b788e-5222-494b-9382-d31cf3262251/thumbnail/1200x630g2/9e1f8f276e12378abf61d1bdfe0870f5/gettyimages-1183649556.jpg,"[48, 230, 19]"
2016-10-19T06:47:15-07:00,"Seventh in a 10-part weekly series. The Politics of US looks at polarizing topics to help deepen understanding of the issues – and respect for those with differing views. This installment looks at how feasible Trump's Wall is, what it symbolizes, and what the alternatives are.",csmonitor,http://www.csmonitor.com/USA/Politics/2016/1019/The-Politics-of-US-Illegal-immigration,https://images.csmonitor.com/csm/2016/10/1008879_1_1017-arizonapicture_standard.jpg?alias=standard_900x600,"[49, 230, 19]"
2019-10-17T06:15:22-07:00,"NEW YORK (AP) — Facing intense scrutiny from President Donald Trump and his Republican allies, Hunter Biden said Sunday he will step down from the board of directors of a Chinese-backed private equity firm at the end of the month as part of a pledge not to work on behalf of any foreign-owned companies should his father win the presidency.",apnews,https://www.apnews.com/8a0f4a471d19476383e665fc091d2847,https://storage.googleapis.com/afs-prod/media/a065b271baf54cc989b7e0649241fb73/3000.jpeg,"[50, 7, 175]"
2017-08-10T16:19:02-07:00,President Trump warned North Korea on Thursday that “things will happen to them like they never thought possible” should the isolated country attack the United States or its allies.,washingtonpost,https://www.washingtonpost.com/world/national-security/trump-escalates-rhetoric-on-threat-from-north-korea/2017/08/10/ff49e018-7ded-11e7-83c7-5bd5460f0d7e_story.html?utm_term=.929b27b0093b,https://www.washingtonpost.com/rf/image_1484w/2010-2019/WashingtonPost/2017/08/10/National-Security/Images/Trump_43748-56af2.jpg?t=20170517,"[51, 72, 79]"
2023-03-09T08:09:08-08:00,"One of the hallmarks of people who are telling the truth, in case you were wondering how to tell the difference, is that people who are telling the truth are calm. You don't wave their hands around and make wild accusations. They don't need to do that. It's enough to say what they know and if honest people turn out to be wrong about something they have claimed, they'll admit",foxnews,https://www.foxnews.com/opinion/tucker-carlson-reason-leaders-hid-january-6-tapes,https://static.foxnews.com/foxnews.com/content/uploads/2023/03/mono.jpg,"[52, 157, 198]"
2019-12-19T05:58:21-08:00,"MOSCOW—Russian President Vladimir Putin blasted U.S. Democrats for impeaching President Trump on what the Russian leader called “made up charges,” and said he expects the U.S. leader to survive the firestorm in Washington and remain in power.",wsj,https://www.wsj.com/articles/putin-criticizes-democrats-for-impeaching-trump-11576759602,https://s.wsj.net/img/meta/wsj-social-share.png,"[19, 30, 3]"
2022-07-14T06:42:48-07:00,"President Joe Biden on Tuesday maintained that Democratic voters “want” him to run again in 2024, misrepresenting the results of a recent New York Times/Siena College poll. The poll, published Monday, found that 64% of Democratic voters want another 2024 candidate. Reporters asked Biden what his message is to Democrats who, based on the poll’s findings, don’t want him running",dailycaller,https://dailycaller.com/2022/07/12/joe-biden-misrepresents-new-york-times-poll-democrats-want-alternative-2024/,https://cdn01.dailycaller.com/wp-content/uploads/2022/07/Screen-Shot-2022-07-12-at-8.27.27-PM-e1657672068920.jpg,"[54, 19, 3]"
